Meal Name;Servings;Total Time (mins);Link to Website;Cooking Instructions
Cheesy Brinjal Bake;6;40;https://taste.co.za/recipes/cheesy-brinjal-bake/;"1 Slice into the brinjals, leaving the tops still intact, to make a fan shape.

2 Heat a large pan and add half the olive oil. Fry the brinjals until golden brown on both sides, seasoning with salt and pepper. Place in an ovenproof dish.

3 Preheat the oven to 200°C. To make the sauce, heat a saucepan and add the remaining olive oil. Fry the onion over a medium heat until it begins to soften and caramelise slightly.

4 Add the spices and oregano and fry for 1 minute, then add the garlic and chilli and fry for another few minutes. Stir in the tomato paste, then pour in the tomatoes. Break them with a wooden spoon to make a chunky sauce. Sprinkle in the sugar.

5 Simmer for 10 minutes, then pour over the brinjals. Crumble over the feta, top with the mozzarella and cover with tinfoil. Bake for 20 minutes, or until the brinjals are soft and cooked through when pierced with a knife. Uncover and grill until golden brown. To serve, spoon over the basil pesto and top with torn basil leaves."
Cleaning Restock;;;;
Sweet Potato Fries;2;;;"1. Preheat the oven to 220 degrees Celsius.
2. Spread the sweet potato chips evenly  on a baking tray.
3. Bake for 20 mins, turning occasionally.
4. Season and serve."
Toiletries Restock;;;;
Mexican Street Corn;4;20;;"1. Clean sweetcorn.
2. Boil in salted water.
3. Char on the braai.
4. Brush with melted butter and top with chipotle spice and a squeeze of lime."
Pesto Couscous Salad;4;10;https://www.instagram.com/p/CgiO2F7Jfe5/;"1. Make couscous (2c)
2. Steam peas (1c).
3. Dice and saute zucchini in olive oil, salt and pepper.
4. Chop basil (0.5c) and mint (0.5c)
5. Combine all ingredients.
6. Top with salt, pepper and lemon juice."
Chili Garlic Broccolini;4;15;https://whatsgabycooking.com/the-best-chili-garlic-broccolini/;"1. In a large pot over medium heat, bring 3L of heavily salted water to a boil. Have a large bowl of ice water ready on the side.
2. Add the broccolini and cook for 2 to 3 minutes, depending on the size of the broccolini. Quickly drain the water and place the broccolini in the ice bath to stop the cooking process. When the broccolini is cool remove them from the ice bath and place on a paper towel- lined plate.
3. Preheat the oven to broil with a rack set in the top third of the oven. In a medium bowl toss the broccolini in olive oil, shallot, garlic to coat then arrange in a single even layer on a baking sheet.
4. Sprinkle it with red pepper flakes and sea salt. Broil until the tips of the broccolini start to char but are not burnt, about 5 to 6 minutes.
5. Remove from the broiler and place back in the bowl. Add the red wine vinegar and chili oil and serve."
Greek Salad;4;10;;Combine all ingredients.
Chocolate Chickpea & Coconut Bark;10;45;https://healthygirlkitchen.com/recipes/vegan-chocolate-chickpea-bark-oil-free/;"1. Preheat oven to 220 C.
2. Add your rinsed, drained and dried chickpeas on a baking sheet lined with parchment paper.
3. Bake for 30-35 minutes or until crunchy and golden brown. Do not burn!
4. Pan fry coconut flakes until toasted (30g = 1cup).
5. Melt chocolate and coconut oil in a bowl in 30-second increments, stirring each time, until completely melted.
6. Combine the chickpeas, coconut flakes and chocolate in a bowl and stir. 7. Add back onto the parchment on the baking sheet and spread evenly into 1-layer.
8. Put in the freezer and allow it to harden for at least 15 minutes.
9. Serve and enjoy!
(Store in fridge or freezer.)"
Broccoli Flatbread;12;45;https://greenkitchenstories.com/vegetable-flatbreads/;"1. Preheat the oven to 200°C and line a baking tray with baking paper.
2. Coarsely chop the broccoli (use the brighter part of the stem too), place in food processor and blend until you have got a fine rice-like texture.
3. Measure 4 cups of the vegetable ‘rice’ and place in a mixing bowl.
4. Add ground almonds, salt and pepper (plus herbs, if using) and mix with your hands.
5. Make a well in the centre and add the eggs.
6. Whisk the eggs with a fork.
7. Use your hands to pull the dry ingredients towards the middle until everything is combined and you can shape it into a ball. It should be more loose and wet than a traditional bread dough.
8. Transfer to the baking paper and form into a rectangular base by flattening the dough with your hands.
9. Bake on the middle rack in the oven for 23-25 minutes or until slightly golden and firm.
10. Remove from the oven and let cool completely.
11. Turn it upside-down and carefully remove the baking paper.
12. Cut into bread-sized slices and store in the fridge."
Chimichurri Fish Tacos;4;30;https://camillestyles.com/food/the-chimichurri-fish-tacos-i-crave-all-summer/;"1. Make the chimichurri by combining everything (cilantro, parsley, paprika, red onion, garlic, red wine vinegar, olive oil, salt, pepper) in a blender. It should be the consistency of a thick pourable sauce, so you may need to add a little more oil or a touch of hot water to thin it out.
2. First, the hake: cut it into strips, then toss in a bowl with 1/4 cup chimichurri until fish is coated. Refrigerate for at least an hour and up to 3 hours.
3. Toss the cabbage with a teaspoon or so of chimichurri, a drizzle of olive oil, and a pinch of salt. Set aside.
4. In a small bowl, mix together 2 tablespoons chimichurri with the mayo. This is your ""crema"" sauce.
5. Heat a large nonstick pan (or a grill) over medium-high. Sprinkle the hake with salt, then cook for a couple minutes per side, until slightly caramelized on the outside and cooked through on the inside. Set aside.
6. Warm the tortillas (I like to do it over a gas stovetop flame so it gets charred), then fill with cabbage, smashed avocado, and hake.
7. Drizzle with the chimichurri crema, then garnish with onions, cilantro, and a squeeze of lime."
Simple Baked Fish;2;10;;"1. Preheat the grill.
2. Grease a baking tray and arrange the frozen hake fillets on the tray.
3. Season with salt, pepper and add a large knob of butter.
4. Grill for 5–7 minutes."
Classic Italian Tiramisu;8;15;https://whatsgabycooking.com/classic-italian-tiramisu/;"1. Whisk together the cocoa powder, espresso and vanilla in a bowl and set aside
2. In a mixer or using a hand mixer, beat the egg yolks and sugar until pale and thick, about 5 minutes.
3. Add in the salt, mascarpone cheese and continue to whip until smooth.
4. Add the chilled cream and continue to whip, until light, creamy, smooth and can hold a soft peak.
5. Dunk each ladyfinger in the espresso mixture to absorb the liquid and start to line a 7×11 oval baking dish with the cookies.
6. Top the first layer of cookies with ½ of the whipped mascarpone mixture and use the back of a metal spoon to spread it into an even layer.
7. Dust with cocoa powder.
8. Repeat for another layer and then finish by dusting with cocoa powder on top.
9. Cover with plastic wrap and chill for at least 2 hours before serving."
Crispy Gnocchi with Parmesan Pea Purée;2;30;https://www.healthylittlevittles.com/crispy-cauliflower-gnocchi-with-parmesan-pea-puree/;"1. Grate parmesan.
2. Toast pine nutes.
3. Pour 2 cups of peas into a glass measuring cup/glass bowl and cover the peas with water. Microwave the peas for 2 minutes, strain and then place the peas into your food processor/blender.
4. Add the remaining pea purée ingredients to the food processor/blender and blend on high until very smooth. Cover and set aside while you make your gnocchi.
5. Melt 1 tablespoon of coconut oil in large skillet over medium heat until melted, then add the gnocchi to the pan. Saute the gnocchi until it starts to turn golden and crispy, tossing frequently to crisp on all sides.
6. Serve immediately with Parmesan Pea Purée, toasted pine nuts, mint leaves (if desired) and more Parmesan cheese (if desired)."
Hot chocolate;2;10;https://www.theconsciousplantkitchen.com/vegan-hot-chocolate/;"1. Warm milk in nutribullet cup for 2 mins.
2. Add other ingredients.
3. Mix in nutribullet.
4. Heat again in microwave in 30sec increments (about 4 times)."
Orzo with prawns, tomato and marinated feta;4;45;https://www.theguardian.com/food/2018/sep/01/easy-does-it-seven-simple-yotam-ottolenghi-recipes?page=with%3Aimg-4#img-4;"1. Toast and crush fennel seeds.

2. In a medium bowl, mix the feta (broken into 1-2cm pieces) with a quarter-teaspoon of the chilli flakes, 1 teaspoon of the fennel seeds and a tablespoon of oil. Set aside while you cook the orzo.

3. Put a large saute pan for which you have a lid on a medium-high heat. Add two tablespoons of oil, the orzo, an eighth of a teaspoon of salt and a good grind of pepper. Fry for three to four minutes, stirring frequently, until golden brown, then remove from the pan and set aside.

4. Return the pan to the same heat and add the remaining two tablespoons of oil, a quarter-teaspoon of chilli flakes, two teaspoons of fennel seeds, the garlic and the orange peel. Fry for a minute, until the garlic starts to brown lightly, then add the tomatoes, stock, 200ml water, three-quarters of a teaspoon of salt and plenty of pepper. Cook for two to three minutes, or until boiling, then stir in the fried orzo. 

5. Cover, then lower the heat to medium low and leave to simmer for 15 minutes, stirring once or twice, until the orzo is cooked.

6. Remove the lid and cook for one to two minutes more, until the consistency is like a risotto. Stir in the prawns for two to three minutes, until they turn pink and are cooked.

7. Stir in the basil and serve at once with the marinated feta sprinkled on top."
Puttanesca Baked Fish;4;25;https://taste.co.za/recipes/puttanesca-baked-fish/;"Fry capers, anchovy fillets, chopped garlic, halved olives and chopped chilli in 2 T olive oil in a large ovenproof pan over a medium to low heat.

When fragrant, add the cherry tomatoes and bring to a simmer. Add tomato paste and a little water if necessary to loosen.

Meanwhile preheat the grill, grease a baking tray and arrange the frozen hake fillets on the tray. Season and grill for 5–7 minutes. Place thefish in the sauce and grate over Parmesan, then grill until golden and bubbling, 3–5 minutes.

Serve hot topped with chopped exotic tomatoes, pickled red onion, basil leaves and orzo, cheesy polenta or Woolworths frozen mash.

Cook's note: The worst thing about entertaining? Washing up, hands down. Do yourself a favour and serve this winning supper in the centre of the table, straight out the pan"
Spaghetti & Mushroom Bolognase;4;40;;"1. Finely chop onion, garlic and chilli and grate mushrooms and carrots.
2. Saute onion, garlic and chilli until softened.
3. Add grated mushrooms and carrots, and fry for 10 minutes.
4. Add passata, paprika, oregano and coriander.
5. Add vegetable stock and nutritional yeast.
6. Simmer on low heat for 20 mins.
7. Cook pasta.
8. Combine and serve with grated parmesean."
Green Vegan Salad;4;40;https://www.lazycatkitchen.com/green-vegan-salad/#recipe-start;"1. Rinse quinoa well and place it in a small pot that you have a glass lid for. Add a few pinches of salt and 180 ml / ¾ cup of water, cover with a lid and bring to the boil. Once the water boils, decrease the heat to low-medium and let the quinoa simmer until all the water has been absorbed. To check, tilt the pot slightly, keeping the lid firmly on. If you see no water seeping out from under the grain, switch off the heat and let the quinoa sit (with the lid firmly on) for another 5-10 min to finish off cooking in its own steam. Cool it down completely.
2. Divide broccoli into small florets, snap wooden ends off the asparagus and cut zucchini into 0.5 cm / ¼” slices.
3. ROAST: Preheat the oven to 220° C / 428° F. Coat broccoli florets in 2 tsp of olive oil and season. Arrange on a large baking tray. Brush zucchini slices with olive oil on both sides, season and arrange on the same tray. Coat asparagus spears in 1 tsp of oil, season and place on the baking tray. Roast for about 8 minutes, take the asparagus off the tray if ready, carry on roasting broccoli and zucchini for another 5-7 minutes, until cooked through. Alternatively, you could use a griddle pan if you prefer.
4. STEAM: Bring a large pot of water to the boil and grab a steaming basket. Once the water comes to the boil, steam broccoli for about 5-6 minutes, zucchini slices for about 3 minutes, asparagus for about 3-5 minutes and peas for about 3 minutes. You will need to do the steaming in batches.
5. If you roasted your vegetables, bring a small pot of water to the boil, cook frozen petit pois or peas for about 3 minutes, drain and immediately refresh it under a cold tap to preserve the colour.
6. Heat up 1 tsp of oil in a small frying pan, once warm add almonds. Toast them for a few minutes until golden and slightly plump, moving them around the pan frequently. Sprinkle with flaky salt before removing from the pan. Allow to cool down and chop roughly.
7. Put all the dressing ingredients in a small blender (I used Ninja blender for this). Make sure the lemon flesh does not include the bitter pith. Blend until smooth, adjust seasoning to taste.
8. Arrange all of the salad elements on a large platter, dress with approximately half of the dressing (keep the rest in the fridge, use up in the next few days) and sprinkle with toasted almonds at the end. Pieces of soft vegan cheese, like this almond feta, scattered on top are also a nice addition."
Roasted Cauliflower & Peas (Gio’s);4;;;
Green haloumi salad with toasted almonds and dairy free pesto;4;15;https://thefeedfeed.com/georgeats/green-halloumi-salad;"STEP 1
Prepare ingredients:
- toast almonds
- finely slice fennel
- slice cucumber, avocado & halloumi

STEP 2
Blend the ingredients for the pesto together in a high speed food processor until smooth (rocket, lemon juice, 1c almonds, 1c olive oil). Adjust for salt, pepper and lemon juice and set aside.

STEP 3
Toss and assemble the vegetables and herbs for the salad on a large serving platter. Reserve the pesto, dressing elements, and a couple of herbs for garnish.

STEP 4
Heat a nonstick pan over a high heat. Once it is sizzling hot, place the halloumi flat side down in the pan. Give it a minute or two before flipping - there should be a lovely caramelized crunchy surface to the halloumi. Adjust the heat as necessary (halloumi cooks well with residual pan heat so you may like to take it off momentarily) and repeat until all the halloumi is cooked.

STEP 5
Arrange the halloumi on the plate and finish with the pesto, olive oil, lemon juice, and herbs for garnish. Serve while the halloumi is warm."
Banana Bread;1;;http://Delish Sisters;"1. Preheat the oven to 180°C. Line a loaf tin with tin foil and grease the foil-lined tin.
2. Beat the butter and sugar together until pale and creamy.
3. Add the mashed bananas and beat until well combined.
4. Add the eggs, one at a time, beating in between until fully incorporated in the mixture.
5. Dissolve the bicarbonate of soda in the warm water and add to the batter.
6. Add the almond milk, baking powder, brown rice flour and salt and mix well.
7. Pour the batter into the lined loaf tin and bake for 1 hour.
8. Serve fresh out of the oven, as is or with lots of butter. Freeze and then toast and top with a blob of marscapone and some toasted pecan nuts or cocoa nibs."
Ginger Sweet Potato & Coconut Milk Stew;6;65;https://thefirstmess.com/2020/02/19/sweet-potato-coconut-milk-stew/#recipe;"1. Heat a large, heavy-bottomed soup pot over medium heat. Add the coconut oil to the pot and let it melt. Add the onions
to the pot and stir. Saute the onions, stirring occasionally,
until translucent and quite soft, about 5 minutes. Add the chili flakes, coriander, cumin, and turmeric. Saute spices until very fragrant, about 1 minute. Add the ginger and garlic to
the pot and cook for another minute. Add a pinch of salt and pepper.

2. Add the sweet potatoes to the pot and stir to coat in the spices. Add the lentils to the pot and stir once more. Season everything liberally with salt and pepper. Add the vegetable stock and stir, scraping up any browned bits on the bottom of the pot. Place the lid on top of the pot and bring to a boil.

3. Once the stew is boiling, lower the heat to a simmer and set the lid slightly askew on top of the pot so that there's a couple inches available for steam to escape. Simmer until the sweet potatoes are almost falling apart and the lentils are tender, about 30 minutes. The liquid should also be reduced by almost a third.

4. Add the coconut milk and kale to the pot and stir. Place the lid on top and continue to simmer the
stew until the kale is wilted and bright green, about 3-4 minutes. Season the sweet potato and coconut milk stew again with salt and pepper. Bring the stew back up to a strong simmer and check for seasoning. Adjust with more salt, pepper, chili etc. if necessary.

5. Serve the sweet potato and coconut milk stew hot with chopped cilantro, extra chili flakes, lime wedges, and Nigella seeds (if using)."
Roasted Butternut & Spinach Phyllo Parcels;2;;;
Blueberry Peanut Butter Smoothie;1;5;;Blend in nutribullet.
Smoky Tomato & Halloumi Bake;4;35;https://www.happyveggiekitchen.com/halloumi-bake/#recipe;"Preheat the oven to 200C.
In a shallow casserole dish, heat some olive oil and gently saute your sliced garlic until it's starting to brown.
Add the smoked paprika and oregano and stir for a moment until fragrant, then add the tomatoes, sugar and red wine vinegar.
Stir the sauce and simmer for 5 minutes.
Drain and rinse the chickpeas, then add to the sauce.
Remove from the heat and arrange the halloumi on top of the sauce.
Bake, uncovered, for 20 minutes until bubbling.
If you want to get the
halloumi browned on top, turn on the grill / broiler for the last 5 minutes."
Peanut Butter Freezer Fudge;;;https://www.cocobeancooks.com/post/peanut-butter-freezer-fudge;"Pour coconut oil and honey into a heatproof bowl.
Microwave for about 40 seconds, until the coconut
oil is completely melted.
Add the peanut butter,
vanilla and a pinch of salt to the honey & coconut oil
mixture.
Mix well until all combined.
Line an ice tray with paper cases, pour the peanut butter mixture into the cases, place the trays
in the freezer and eat once set.
They'll also be delicious drizzled with melted
chocolate."
Red Pesto Couscous Salad;4;40;;
Pea, Mint and Goat’s Cheese Omelettes;2;;;
Spinach and Feta Pie with an Oat Crust;4;45;https://www.google.com/amp/s/greenkitchenstories.com/feta-spinach-pie-with-an-oat-crust/%3Famp;"Preheat the oven to 180C/gas mark 4.
Combine the oat and almond flours, cornflour and sea salt in a bowl.
Add the coconut oil and ice-cold water.
With your hands, work the dry ingredients towards the centre until a dough forms.
Gather the dough into a ball, wrap in bee wax ‘paper’ or place it in a bowl and cover with a plate, then chill for about 30 minutes.

Press the dough evenly into a 20cm tart case.
Trim the dough flush with the edge of the case.
Prick the bottom with a fork and blind bake for about 10 minutes.
Reduce the oven to 170C/gas mark 3.

Crack the eggs into a mixing bowl, whisk for 30 seconds, then crumble in the feta cheese.
Stir in the oregano, chilli flakes, nutmeg and a pinch of salt and pepper.
Set aside.

Heat the olive oil in a large frying pan on a medium-high heat.
Add the spring onions and garlic and fry for about 3 minutes until golden.
Add half of the spinach and a pinch of salt.
Stir the spinach gently until it wilts, then add the rest and keep on stirring until wilted.
Remove from the heat and pour into the mixing bowl containing the egg and cheese mixture.
Stir well until everything is combined.

Spoon the filling into the crust.
Bake for about 30 minutes until the filling is firm and golden.
Let it cool for a while before serving."
Beach Bum Chili;4;;https://mymeals.earthyandy.com/recipe/6025ce03b6c8c2e513dae502;"Wash all the produce.
Peel and chop the onion and carrot(s).
De-stem, de-seed and chop the pepper.
Remove the rough ends from the celery and chop.
Peel and mince the garlic.
Roughly chop the cilantro.
In a large heavy-bottomed pot, heat the olive oil over medium heat until shimmering.
Add the onion, bell pepper, carrots, celery and a pinch of salt.
Stir to combine and cook for about 10 minutes, stirring occasionally, until the vegetables are tender and slightly browned.
Add the garlic, chili powder, cumin, smoked paprika, and oregano and cook, stirring constantly, for about 1 minute, until well combined and garlic has had a chance to cook.
Drain and rinse the beans.
Add the tomatoes and their juices, the black beans, kidney beans, vegetable broth, and bay leaf.
Stir to combine and bring the mixture to a simmer.
Continue cooking, stirring occasionally and reducing the heat as necessary to maintain a gentle simmer, for 30 minutes.
Remove the chili from the heat.
Transfer 1/2 of the chili to a blender, making sure to get some of the liquid.
Securely fasten the lid and blend until smooth (watch out for hot steam), then pour the blended mixture back into the pot.
Alternately, you can blend the chili briefly with an immersion blender or mash it with a potato masher until it reaches a thicker consistency.
Add the chopped cilantro and lime juice. 
Divide the mixture among individual bowls and serve with your choice of garnishes.
Suggested toppings and garnishes: chopped cilantro, sliced avocado, tortilla chips.
The chili will keep in the refrigerator for up to 4 days, or you can freeze for up to one month."
Vegan Macaroni Cheese;2;;;"Soak cashews for 3 hours.
Steam pumpkin and cauliflower.
Cook pasta.
Blend sauce ingredients.
Combine sauce and pasta."
Creamy Roasted Squash Dahl;4;35;;"Preheat the oven to 190C, fan setting.
Cut the butternut squash in half widthways.
Scrape out the seeds from one side before cutting
that half into slices.
Cut the other half into small
bite-sized chunks.
Place all of the butternut squash pieces onto a
baking tray and top with the cinnamon, cumin, a good drizzle of olive oil and a pinch of salt.
Mix well before cooking for 30 minutes, or until the
butternut squash turn's soft.
Place a large pan over a medium heat and add a
drizzle of olive oil.
Once warm, add the diced
onion, garlic and a pinch of salt.
Mix well and cook for 5 minutes until the onion turns soft.
Mix through the turmeric, ginger and curry powder and cook for a minute before adding the red lentils and coconut milk.
Mix well and cook for 15-20 minutes or until the red lentils feel soft, adding the almond milk bit by bit as the mixture absorbs the liquid.
Once the red lentils feel soft, stir through the
spinach, lime juice and bite-sized pieces of butternut squash.
Once ready to serve, mix through the yoghurt.
Top with the roasted butternut squash slices,
some chopped coriander, chilli, toasted almonds,
coconut chips and sliced spring onions before
serving."
Thai Steamed Fish Pocket;2;20;;"Preheat oven 200C.
Line heavy duty foil with greaseproof paper.
Combine dressing ingredients.
Place broccoli + fish + pour over dressing.
Close pocket + place in oven for 12 minutes (over coals for 8 minutes).
Cool couscous.
Serve."
Cashew Pesto Pasta;2;15;;"Step 1
Place one third of the cashews into a food
processor and pulse for a few seconds until
they're broken up. Toast them in a frying pan
placed over a medium heat until they go golden
brown. Once golden, leave to one side to sprinkle
on top of the pasta.

Step 2
Place the rest of the ingredients (except the pasta
or courgetti) into a blender and blend until a
smooth, creamy pesto forms. You may need to
add a dash more water until you reach the
consistency you like best.

Step 3
Once ready to serve, cook the pasta according to
instructions on the pack (or prep the courgetti).
Once cooked, drain and place back into the pan.

Step 4
Toss the pesto with the cooked pasta (or
courgetti) and sprinkle with the toasted cashews."
Butter Chickpeas;4;40;https://thefirstmess.com/2019/09/11/spiced-vegan-butter-chickpeas/;"In an upright, high speed blender, combine the drained cashews, water, and maple syrup. Blend on high until you have a heavy cream-like consistency, about 1 minute. Set aside.
Place a large, deep skillet (or braiser) over medium heat.
Add the coconut oil to the skillet and swirl it around.
Add the onions to the skillet and saute until translucent and soft, about 5 minutes.
Add the cumin, coriander, paprika, cardamom, cinnamon, and nutmeg to the skillet, and cook, stirring often, for about 1 minute.
Add the garlic and cook for an additional minute.
Season liberally with salt and pepper and stir.
Add the diced tomatoes and stir to combine.
Then, add the cashew cream and stir.
Carefully transfer the sauce to an upright, high speed blender. Carefully blend the mixture on high until smooth, about 30 seconds.
Return the pureed sauce to the skillet on the stove.
Add the chickpeas and stir.
Bring the vegan “butter” chickpeas to a boil, and then simmer for 10 minutes, or until sauce is slightly thickened and clinging to the chickpeas.
Stir in the lemon juice and check the dish for seasoning.
Adjust salt/pepper/spice/acidity if necessary.
Top the vegan “butter” chickpeas with chopped cilantro.
Serve hot with rice or flatbread of choice."
Thai Green Curry;4;30;;"Firstly add all the sauce ingredients into a
blender and whizz into a smooth sauce
Now heat a wok/pan/pot with coconut oil + tamari
adding in the chopped veg to fry for 5 minutes.
Now add in the green sauce (+ water if you feel your sauce needs it) and simmer for 10-15 until the veg has softened.
Finally serve with rice or quinoa, lime juice and
fresh coriander."
